,task_1,task_1,task_2,task_2,task_3,task_3,task_4,task_4,task_5,task_5,task_6,task_6,task_7,task_7,task_8,task_8,task_9,task_9,task_10,task_10
6981,,,['In Between'],['Round'],,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,,,,,,
6982,,,,,,,,,,,,,['Spiral Arms (Yes)'],['Spiral Arms (No)'],['Spiral Winding (Tight)'],,['Spiral Arms (2)'],,,
6983,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
6984,,,,,,,,,,,,,,,['Spiral Winding (Medium)'],['Spiral Winding (Tight)'],,,['Central Bulge (Small)'],['Central Bulge (Moderate)']
6985,,,,,,,['Merging (Major Disturbance)'],['Merging (None)'],,,['Weak Bar'],['No Bar'],,,,,,,['Central Bulge (Small)'],['Central Bulge (Moderate)']
6986,,,,,,,,,,,,,,,,,,,,
6987,,,,,,,,,,,,,,,,,,,,
6988,,,,,,,,,,,,,,,,,,,,
6989,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Small)']
6990,,,['Cigar Shaped'],['In Between'],,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,,,,,,
6991,,,,,,,,,,,['No Bar'],['Weak Bar'],,,,,['Spiral Arms (cannot tell)'],['Spiral Arms (2)'],,
6992,,,,,,,,,,,,,,,,,,,,
6993,,,,,,,,,,,,,,,,,,,,
6994,,,,,,,,,,,,,,,['Spiral Winding (Tight)'],['Spiral Winding (Medium)'],['Spiral Arms (2)'],['Spiral Arms (cannot tell)'],['Central Bulge (Moderate)'],['Central Bulge (Small)']
6995,,,,,,,,,,,,,,,,,,,,
6996,['Featured or Disk'],['Smooth'],,['In Between'],['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (2)'],,['Central Bulge (Small)'],
6997,,,,,,,,,,,,,,,,,,,,
6998,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (Yes)'],,,,['Bulge (Rounded)'],,,,,,,,,,
6999,['Featured or Disk'],['Smooth'],,['Round'],['Edge On Disk (No)'],,,,,,['Weak Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (2)'],,['Central Bulge (Moderate)'],
7000,['Smooth'],['Featured or Disk'],['Round'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (2)'],,['Central Bulge (Small)']
7001,,,,,,,,,,,,,,,,,,,,
7002,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
7003,,,,,,,,,,,,,,,,,,,,
7004,,,,,,,,,,,,,,,,,,,,
7005,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
7006,,,,,,,,,,,,,,,,,,,,
7007,,,,,,,,,,,,,,,,,,,,
7008,,,,,,,,,,,,,,,,,,,,
7009,,,,,,,,,,,,,,,,,,,,
7010,,,,,,,,,,,,,,,,,,,,
7011,,,,,,,,,,,,,,,,,['Spiral Arms (3)'],['Spiral Arms (2)'],,
7012,,,,,,,['Merging (None)'],['Merging (Minor Disturbance)'],,,,,,,,,,,['Central Bulge (Moderate)'],['Central Bulge (Small)']
7013,,,,,,,,,,,['No Bar'],['Weak Bar'],,,,,,,,
7014,,,,,,,,,,,,,,,,,,,,
7015,,,,,,,,,,,,,,,,,,,,
7016,,,,,,,,,,,,,,,,,,,,
7017,['Featured or Disk'],['Smooth'],,['In Between'],['Edge On Disk (No)'],,['Merging (Merger)'],['Merging (None)'],,,['Weak Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (2)'],,['Central Bulge (Small)'],
7018,,,,,,,,,,,,,,,,,,,,
7019,,,,,,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,,,,,,
7020,,,,,,,,,,,,,,,['Spiral Winding (Medium)'],['Spiral Winding (Tight)'],,,['Central Bulge (Small)'],['Central Bulge (None)']
7021,,,,,,,,,,,,,,,,,,,,
7022,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (Yes)'],,,,['Bulge (None)'],,,,,,,,,,
7023,,,,,,,,,,,,,,,['Spiral Winding (Tight)'],['Spiral Winding (Medium)'],['Spiral Arms (cannot tell)'],['Spiral Arms (2)'],,
7024,,,,,,,,,,,,,,,,,,,,
7025,,,,,,,,,,,,,,,,,,,,
7026,,,['Round'],['In Between'],,,,,,,,,,,,,,,,
7027,,,,,,,['Merging (None)'],['Merging (Minor Disturbance)'],,,,,,,,,,,,
7028,['Featured or Disk'],['Smooth'],,['Round'],['Edge On Disk (No)'],,['Merging (Merger)'],['Merging (None)'],,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Small)'],
7029,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
7030,,,,,,,,,,,,,,,,,,,,
7031,,,,,,,,,,,,,,,,,,,,
7032,,,,,,,,,,,,,,,,,,,,
7033,,,,,,,,,,,,,,,,,,,,
7034,,,,,,,,,,,,,,,,,,,,
7035,,,,,,,,,,,,,,,,,,,,
7036,,,,,,,,,,,,,,,,,,,,
7037,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],['Merging (Merger)'],['Merging (None)'],,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (None)']
7038,,,,,,,,,,,,,,,,,,,,
7039,,,,,,,,,,,,,,,,,,,,
7040,,,['Cigar Shaped'],['In Between'],,,['Merging (None)'],['Merging (Merger)'],,,,,,,,,,,,
7041,,,,,,,,,,,,,,,,,,,,
7042,,,,,,,,,,,,,,,,,,,,
7043,,,,,,,['Merging (None)'],['Merging (Minor Disturbance)'],,,['Strong Bar'],['Weak Bar'],,,['Spiral Winding (Medium)'],['Spiral Winding (Tight)'],,,,
7044,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
7045,,,,,,,,,,,,,,,,,,,,
7046,,,,,,,['Merging (Major Disturbance)'],['Merging (None)'],,,['Weak Bar'],['No Bar'],,,,,['Spiral Arms (cannot tell)'],['Spiral Arms (2)'],,
7047,,,,,,,,,,,,,,,,,,,,
7048,,,,,,,,,,,,,,,,,,,,
7049,,,,,,,,,,,,,,,,,['Spiral Arms (4)'],['Spiral Arms (cannot tell)'],,
7050,,,,,,,,,,,,,,,,,,,,
7051,,,,,,,,,,,,,,,,,,,,
7052,['Featured or Disk'],['Smooth'],,['Cigar Shaped'],['Edge On Disk (Yes)'],,,,['Bulge (Rounded)'],,,,,,,,,,,
7053,['Featured or Disk'],['Smooth'],,['Cigar Shaped'],['Edge On Disk (Yes)'],,,,['Bulge (Rounded)'],,,,,,,,,,,
7054,,,,,,,,,,,,,,,,,,,,
7055,,,,,,,,,,,,,,,,,,,,
7056,,,,,,,,,,,,,,,,,,,,
7057,,,,,,,['Merging (None)'],['Merging (Major Disturbance)'],,,,,,,,,,,,
7058,,,,,,,,,,,,,,,,,,,,
7059,,,,,,,,,,,['Weak Bar'],['No Bar'],,,,,['Spiral Arms (3)'],['Spiral Arms (2)'],,
7060,,,,,,,['Merging (Major Disturbance)'],['Merging (None)'],,,,,,,['Spiral Winding (Loose)'],['Spiral Winding (Tight)'],['Spiral Arms (cannot tell)'],['Spiral Arms (2)'],['Central Bulge (None)'],['Central Bulge (Small)']
7061,,,,,,,,,,,,,,,,,,,,
7062,,,,,,,,,,,,,,,,,,,,
7063,,,,,,,,,,,,,,,['Spiral Winding (Tight)'],['Spiral Winding (Medium)'],['Spiral Arms (3)'],['Spiral Arms (2)'],['Central Bulge (Moderate)'],['Central Bulge (Small)']
7064,,,,,,,,,,,,,,,,,,,,
7065,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
7066,,,['Cigar Shaped'],['In Between'],,,,,,,,,,,,,,,,
7067,,,,,,,,,,,,,,,,,,,,
7068,,,,,,,,,,,,,,,,,['Spiral Arms (1)'],['Spiral Arms (2)'],,
7069,['Smooth'],['Featured or Disk'],['Round'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (cannot tell)'],,['Central Bulge (Small)']
7070,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (Yes)'],,,,['Bulge (Rounded)'],,,,,,,,,,
7071,,,['Cigar Shaped'],['In Between'],,,,,,,,,,,,,,,,
7072,,,,,,,,,,,,,,,,,,,,
7073,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
7074,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
7075,,,,,,,,,,,,,,,,,,,,
7076,,,,,,,,,,,,,,,,,,,,
7077,,,['In Between'],['Round'],,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
7078,['Featured or Disk'],['Smooth'],,['Round'],['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Moderate)'],
7079,['Featured or Disk'],['Smooth'],,['In Between'],['Edge On Disk (No)'],,,,,,['Strong Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Loose)'],,['Spiral Arms (2)'],,['Central Bulge (Moderate)'],
7080,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (2)'],,['Central Bulge (Small)']
7081,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
7082,,,,,,,,,,,,,,,,,['Spiral Arms (1)'],['Spiral Arms (2)'],,
7083,,,,,,,,,,,,,,,,,,,,
7084,,,,,,,,,,,,,,,,,,,,
7085,['Featured or Disk'],['Smooth'],,['In Between'],['Edge On Disk (Yes)'],,,,['Bulge (Rounded)'],,,,,,,,,,,
7086,,,,,,,,,,,,,,,,,,,,
7087,,,,,,,,,,,,,,,,,,,,
7088,,,,,,,,,,,,,,,,,,,,
7089,,,,,,,,,,,,,,,,,,,,
7090,['Featured or Disk'],['Smooth'],,['In Between'],['Edge On Disk (No)'],,['Merging (Merger)'],['Merging (None)'],,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Moderate)'],
7091,,,,,,,,,,,,,,,,,,,,
7092,,,['In Between'],['Round'],,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
7093,,,,,,,,,,,,,,,['Spiral Winding (Tight)'],['Spiral Winding (Medium)'],['Spiral Arms (1)'],['Spiral Arms (2)'],['Central Bulge (Moderate)'],['Central Bulge (Small)']
7094,,,,,,,,,,,,,,,,,,,,
7095,,,,,,,,,,,,,,,,,,,,
7096,,,,,,,,,,,,,,,['Spiral Winding (Medium)'],['Spiral Winding (Loose)'],,,,
7097,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
7098,,,,,,,,,,,,,,,,,,,,
7099,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Moderate)']
7100,,,,,,,,,,,['Strong Bar'],['No Bar'],,,,,,,,
7101,,,,,,,,,,,,,,,,,,,,
7102,,,,,,,,,,,,,,,,,,,,
7103,,,,,,,,,,,,,,,,,,,,
7104,,,,,,,,,,,,,,,,,,,,
7105,,,['In Between'],['Round'],,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,,,,,,
7106,,,,,,,,,,,,,,,,,,,,
7107,,,['Cigar Shaped'],['In Between'],,,,,,,,,,,,,,,,
7108,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
7109,,,,,,,,,,,,,,,,,,,,
7110,,,,,,,,,,,,,,,,,,,,
7111,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
7112,,,,,,,,,,,,,,,,,,,,
7113,,,,,,,,,,,,,,,,,,,,
7114,,,,,,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,,,,,,
7115,,,,,,,,,,,,,,,,,,,,
7116,,,,,,,,,,,,,,,,,,,,
7117,,,,,,,,,,,,,,,,,,,,
7118,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
7119,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (2)'],,['Central Bulge (Small)']
7120,['Smooth'],['Featured or Disk'],['Round'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Moderate)']
7121,,,,,,,,,,,,,,,,,,,,
7122,,,,,,,,,,,,,,,,,,,,
7123,,,,,,,,,,,,,,,,,,,,
7124,,,,,,,,,,,,,,,,,,,,
7125,,,,,,,,,,,,,,,,,,,,
7126,,,,,,,,,,,,,,,,,,,,
7127,,,,,,,,,,,,,,,,,,,,
7128,,,,,,,,,,,,,,,,,,,,
7129,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,['Spiral Winding (Tight)'],['Spiral Winding (Medium)'],,,['Central Bulge (Moderate)'],['Central Bulge (Small)']
7130,,,,,,,,,,,,,,,,,['Spiral Arms (3)'],['Spiral Arms (2)'],,
7131,,,,,,,,,,,,,,,,,,,,
7132,['Featured or Disk'],['Artifact'],,,['Edge On Disk (Yes)'],,['Merging (None)'],,['Bulge (Rounded)'],,,,,,,,,,,
7133,,,,,,,,,,,,,,,,,['Spiral Arms (cannot tell)'],['Spiral Arms (2)'],,
7134,,,,,,,,,,,['No Bar'],['Weak Bar'],,,['Spiral Winding (Tight)'],['Spiral Winding (Medium)'],['Spiral Arms (1)'],['Spiral Arms (cannot tell)'],,
7135,,,,,,,,,,,['Strong Bar'],['Weak Bar'],,,,,,,,
7136,['Featured or Disk'],['Smooth'],,['In Between'],['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (2)'],,['Central Bulge (Small)'],
7137,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
7138,,,,,,,['Merging (Major Disturbance)'],['Merging (None)'],,,,,,,,,,,,
7139,,,,,,,,,,,,,,,,,,,,
7140,,,,,,,,,,,,,,,,,,,,
7141,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
7142,,,,,,,,,,,,,,,,,,,,
7143,,,,,,,,,,,['No Bar'],['Weak Bar'],,,['Spiral Winding (Tight)'],['Spiral Winding (Medium)'],,,['Central Bulge (Moderate)'],['Central Bulge (Small)']
7144,,,,,,,,,,,['Strong Bar'],['No Bar'],,,,,['Spiral Arms (cannot tell)'],['Spiral Arms (2)'],,
7145,,,,,,,,,,,,,,,,,,,,
7146,,,,,,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,,,,,,
7147,,,,,,,,,,,,,,,,,,,,
7148,,,,,['Edge On Disk (No)'],['Edge On Disk (Yes)'],,,,['Bulge (None)'],['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Loose)'],,['Spiral Arms (2)'],,['Central Bulge (None)'],
7149,,,,,,,,,,,,,,,,,,,,
7150,,,['In Between'],['Cigar Shaped'],,,,,,,,,,,,,,,,
7151,,,,,,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,,,,,,
7152,,,,,,,,,,,,,,,,,,,,
7153,,,,,,,,,,,,,,,,,['Spiral Arms (2)'],['Spiral Arms (cannot tell)'],,
7154,,,,,,,,,,,,,,,['Spiral Winding (Medium)'],['Spiral Winding (Tight)'],['Spiral Arms (3)'],['Spiral Arms (2)'],,
7155,,,,,,,,,,,,,,,,,,,,
7156,,,,,,,,,,,,,,,,,,,,
7157,,,,,,,,,,,,,,,,,,,,
7158,,,,,,,['Merging (None)'],['Merging (Minor Disturbance)'],,,,,,,,,,,,
7159,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['Weak Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Moderate)']
7160,,,,,,,,,,,,,,,,,,,,
7161,,,,,,,,,,,,,,,,,,,,
7162,,,,,,,,,,,,,,,,,,,,
7163,,,,,,,,,,,,,,,,,,,['Central Bulge (Moderate)'],['Central Bulge (Small)']
7164,,,,,,,['Merging (Major Disturbance)'],['Merging (None)'],,,['No Bar'],['Weak Bar'],['Spiral Arms (No)'],['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (2)'],,
7165,,,,,,,,,,,,,,,,,,,,
7166,,,,,,,,,,,,,,,,,,,,
7167,,,,,,,,,,,,,,,['Spiral Winding (Medium)'],['Spiral Winding (Tight)'],,,['Central Bulge (Moderate)'],['Central Bulge (Small)']
7168,,,,,,,,,,,,,,,,,,,,
7169,,,,,,,,,,,,,,,,,,,,
7170,,,,,,,,,,,,,,,,,,,,
7171,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],['Merging (Minor Disturbance)'],['Merging (Merger)'],,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Loose)'],,['Spiral Arms (2)'],,['Central Bulge (Moderate)']
7172,,,,,,,['Merging (Major Disturbance)'],['Merging (None)'],,,['Weak Bar'],['No Bar'],,,['Spiral Winding (Medium)'],['Spiral Winding (Tight)'],,,['Central Bulge (None)'],['Central Bulge (Small)']
7173,,,,,,,,,,,,,,,,,,,,
7174,,,,,,,,,,,,,,,,,,,,
7175,,,,,,,,,,,,,,,['Spiral Winding (Tight)'],['Spiral Winding (Medium)'],['Spiral Arms (cannot tell)'],['Spiral Arms (2)'],['Central Bulge (Small)'],['Central Bulge (Moderate)']
7176,,,,,,,,,,,,,,,,,,,,
7177,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
7178,,,['Cigar Shaped'],['In Between'],,,,,,,,,,,,,,,,
7179,,,,,,,,,,,,,,,,,,,,
7180,,,['In Between'],['Cigar Shaped'],,,,,,,,,,,,,,,,
7181,,,,,,,['Merging (None)'],['Merging (Merger)'],,,,,,,,,,,,
7182,,,,,,,,,,,,,,,,,,,,
7183,,,,,,,,,,,,,,,,,,,,
7184,,,,,,,,,,,,,,,,,,,,
7185,,,,,,,,,,,,,,,,,,,,
7186,,,['Cigar Shaped'],['In Between'],,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,,,,,,
7187,,,,,,,['Merging (None)'],['Merging (Merger)'],,,,,,,,,,,,
7188,,,,,,,,,,,,,,,,,,,,
7189,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],['Merging (Major Disturbance)'],['Merging (None)'],,,,['Weak Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (2)'],,['Central Bulge (Small)']
7190,,,,,,,,,,,,,,,,,,,,
7191,['Artifact'],['Featured or Disk'],,,,['Edge On Disk (No)'],,['Merging (None)'],,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Small)']
7192,,,,,,,,,,,,,,,,,,,,
7193,,,,,,,,,,,,,,,,,,,,
7194,,,,,,,,,,,,,,,,,,,,
7195,['Featured or Disk'],['Smooth'],,['In Between'],['Edge On Disk (No)'],,,,,,['Weak Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (cannot tell)'],,['Central Bulge (None)'],
7196,,,,,,,,,,,,,,,,,,,,
7197,,,,,,,,,,,,,,,,,,,,
7198,,,,,,,,,,,,,,,,,,,,
7199,,,,,,,,,,,,,,,,,,,,
7200,,,,,,,,,,,['No Bar'],['Weak Bar'],,,,,,,['Central Bulge (Small)'],['Central Bulge (Moderate)']
7201,,,,,,,,,,,,,,,,,,,,
7202,,,,,,,['Merging (None)'],['Merging (Minor Disturbance)'],,,,,,,['Spiral Winding (Tight)'],['Spiral Winding (Medium)'],['Spiral Arms (1)'],['Spiral Arms (2)'],,
7203,,,,,,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,,,['Spiral Arms (cannot tell)'],['Spiral Arms (2)'],['Central Bulge (Moderate)'],['Central Bulge (Small)']
7204,,,,,,,,,,,,,,,,,,,,
7205,,,,,,,,,,,,,,,,,,,,
7206,,,,,,,,,,,,,,,,,,,,
7207,,,,,,,,,,,['Weak Bar'],['No Bar'],,,,,,,,
7208,,,,,,,,,,,,,,,,,['Spiral Arms (3)'],['Spiral Arms (2)'],,
7209,,,,,,,,,,,,,,,,,,,,
7210,,,,,,,,,,,,,,,,,,,,
7211,,,,,,,,,,,,,,,,,,,,
7212,,,,,,,,,,,,,,,,,,,,
7213,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
7214,,,,,,,['Merging (Merger)'],['Merging (None)'],,,['No Bar'],['Weak Bar'],,,,,,,,
7215,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
7216,,,,,,,['Merging (Major Disturbance)'],['Merging (None)'],,,,,['Spiral Arms (No)'],['Spiral Arms (Yes)'],,['Spiral Winding (Loose)'],,['Spiral Arms (2)'],,
7217,,,,,,,,,,,,,,,,,,,,
7218,,,,,,,,,,,,,,,,,,,,
7219,,,,,,,,,,,,,,,,,,,,
7220,,,,,,,,,,,,,,,,,,,,
7221,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (cannot tell)'],,['Central Bulge (None)']
7222,,,,,,,,,,,,,,,,,,,,
7223,,,,,,,,,,,,,,,,,,,,
7224,,,,,,,,,,,,,,,,,,,,
7225,,,,,,,,,,,,,,,,,,,,
7226,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (2)'],,['Central Bulge (Moderate)']
7227,,,,,,,,,,,,,,,,,,,,
7228,,,,,,,,,,,,,,,,,,,['Central Bulge (Small)'],['Central Bulge (Moderate)']
7229,,,,,,,,,,,,,,,,,,,,
7230,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
7231,,,,,,,,,,,,,,,,,,,,
7232,,,,,,,,,,,,,,,,,,,,
7233,,,,,,,,,,,,,,,,,,,,
7234,,,,,,,,,,,,,,,,,,,,
7235,,,,,,,,,,,,,,,,,,,,
7236,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Moderate)']
7237,,,,,,,['Merging (Minor Disturbance)'],['Merging (None)'],,,['No Bar'],['Weak Bar'],,,['Spiral Winding (Tight)'],['Spiral Winding (Medium)'],['Spiral Arms (4)'],['Spiral Arms (cannot tell)'],,
7238,,,,,,,,,,,,,,,,,,,,
7239,,,,,,,,,,,,,,,,,,,,
7240,,,,,,,,,,,,,,,,,,,,
7241,,,,,,,,,,,,,,,,,,,,
7242,,,,,,,['Merging (None)'],['Merging (Merger)'],,,,,,,,,,,,
7243,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
7244,,,,,,,,,,,,,,,,,,,,
7245,['Featured or Disk'],['Smooth'],,['In Between'],['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Moderate)'],
7246,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (Yes)'],,,,['Bulge (Rounded)'],,,,,,,,,,
7247,,,,,,,,,,,,,,,,,,,,
7248,['Featured or Disk'],['Smooth'],,['Round'],['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Small)'],
7249,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
7250,,,,,,,,,,,,,,,,,,,,
7251,,,,,,,,,,,,,,,,,,,,
7252,,,,,,,,,,,,,,,,,,,,
7253,,,,,,,,,,,,,,,,,,,,
7254,,,,,,,,,,,,,,,,,,,,
7255,,,,,,,,,,,,,,,,,,,,
7256,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
7257,,,,,,,,,,,,,,,,,,,,
7258,,,,,,,,,,,,,,,,,,,,
7259,,,,,,,,,,,,,,,,,,,,
7260,,,,,,,['Merging (Major Disturbance)'],['Merging (None)'],,,,,,,,,,,,
7261,,,['Round'],['In Between'],,,,,,,,,,,,,,,,
7262,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
7263,,,,,,,,,,,,,,,,,,,,
7264,['Smooth'],['Featured or Disk'],['Round'],,,['Edge On Disk (No)'],['Merging (Merger)'],['Merging (None)'],,,,['Weak Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (2)'],,['Central Bulge (Moderate)']
7265,,,['In Between'],['Cigar Shaped'],,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
7266,,,,,,,,,,,,,,,,,,,,
7267,['Featured or Disk'],['Smooth'],,['In Between'],['Edge On Disk (No)'],,,,,,['Weak Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Moderate)'],
7268,,,,,,,,,,,,,,,,,['Spiral Arms (4)'],['Spiral Arms (3)'],,
7269,,,,,,,,,,,,,,,,,,,,
7270,,,,,,,,,,,,,,,,,,,,
7271,,,,,,,,,,,,,,,,,,,,
7272,,,,,,,,,,,,,,,,,,,,
7273,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (Yes)'],,,,['Bulge (None)'],,,,,,,,,,
7274,,,,,,,,,,,,,,,,,,,,
7275,,,,,,,,,,,,,,,['Spiral Winding (Loose)'],['Spiral Winding (Medium)'],,,,
7276,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['Weak Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (2)'],,['Central Bulge (Moderate)']
7277,,,,,,,,,,,,,,,,,,,['Central Bulge (Small)'],['Central Bulge (Moderate)']
7278,,,,,,,,,,,,,,,,,['Spiral Arms (More Than 4)'],['Spiral Arms (cannot tell)'],,
7279,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Moderate)']
7280,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
7281,,,,,,,,,,,,,,,,,,,,
7282,,,,,,,,,,,,,,,,,,,,
7283,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Moderate)']
7284,,,['In Between'],['Cigar Shaped'],,,,,,,,,,,,,,,,
7285,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
7286,,,['In Between'],['Cigar Shaped'],,,,,,,,,,,,,,,,
7287,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['Weak Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (2)'],,['Central Bulge (Moderate)']
7288,,,,,,,,,,,,,,,,,,,,
7289,,,,,,,,,,,,,,,,,,,,
7290,,,,,,,,,,,,,,,,,,,,
7291,,,['In Between'],['Round'],,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
7292,,,,,,,,,,,,,,,,,,,,
7293,,,,,,,,,,,,,,,,,,,,
7294,,,,,,,,,,,,,,,,,,,,
7295,,,['Cigar Shaped'],['In Between'],,,,,,,,,,,,,,,,
7296,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (cannot tell)'],,['Central Bulge (Small)']
